ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
60,Tambopata,PE,2022-04-07 17:28:08,-12.7333,-69.1833,91.29,58,40,3.44,scattered clouds
61,Araouane,ML,2022-04-07 17:28:08,18.9048,-3.5265,102.76,7,7,14.92,clear sky
62,Bainbridge,US,2022-04-07 17:25:23,47.6262,-122.5212,60.28,68,0,1.99,clear sky
63,Calbuco,CL,2022-04-07 17:28:08,-41.768,-73.1273,61.81,92,98,2.04,overcast clouds
64,Lufilufi,WS,2022-04-07 17:28:09,-13.8745,-171.5986,76.78,80,76,18.57,light rain
65,Burnie,AU,2022-04-07 17:28:09,-41.0667,145.9167,56.91,86,74,10.0,broken clouds
66,Taree,AU,2022-04-07 17:28:10,-31.9,152.4667,68.11,88,100,3.44,overcast clouds
67,Mar Del Plata,AR,2022-04-07 17:27:49,-38.0023,-57.5575,62.62,86,75,11.5,broken clouds
68,Road Town,VG,2022-04-07 17:28:11,18.4167,-64.6167,82.49,69,20,12.66,few clouds
69,Arraial Do Cabo,BR,2022-04-07 17:25:10,-22.9661,-42.0278,80.56,69,20,11.5,few clouds
70,Sangar,RU,2022-04-07 17:28:11,63.9242,127.4739,3.09,98,99,2.35,overcast clouds
71,Atambua,ID,2022-04-07 17:28:12,-9.1061,124.8925,73.02,88,85,4.16,overcast clouds
72,Hobart,AU,2022-04-07 17:28:12,-42.8794,147.3294,50.05,88,18,8.05,few clouds
73,New Norfolk,AU,2022-04-07 17:25:22,-42.7826,147.0587,49.71,75,14,2.77,few clouds
74,Saint-Philippe,RE,2022-04-07 17:23:25,-21.3585,55.7679,76.59,84,39,10.83,scattered clouds
75,Medea,DZ,2022-04-07 17:28:13,36.2642,2.7539,57.24,55,0,5.77,clear sky
76,Severo-Kurilsk,RU,2022-04-07 17:25:14,50.6789,156.125,28.42,84,100,7.7,overcast clouds
77,Yulara,AU,2022-04-07 17:28:14,-25.2406,130.9889,62.44,45,0,5.75,clear sky
78,Voh,NC,2022-04-07 17:28:14,-20.9667,164.7,75.04,93,100,7.76,overcast clouds
79,Port Elizabeth,ZA,2022-04-07 17:25:11,-33.918,25.5701,59.31,75,0,24.0,clear sky
80,Mataura,NZ,2022-04-07 17:25:12,-46.1927,168.8643,48.85,66,91,7.7,overcast clouds
81,Vardo,NO,2022-04-07 17:27:26,70.3705,31.1107,35.58,87,75,24.16,broken clouds
82,College,US,2022-04-07 17:19:35,64.8569,-147.8028,24.58,76,75,4.61,broken clouds
